provider_id,fname,lname,facility_name,address,city,state,zipcode,specialty_code,start_date
N3T3600A,Molly,Matthews,Alovia Skin Clinic,1106 North Idaho Boulevard,Biloxi,Mississippi,39530,orthopedist,4/13/2006
N3T3700A,Myra,Roberts,Manchester Medical Group,2214 East Airport,Little Rock,Arkansas,72201,family_physician,7/5/2011
N3T3800A,Gabriela,Lewis,Silverlining Medical,2184 South Cypress Street,Montpelier,Idaho,83254,orthopedist,2/21/2016
N3T3900A,Robyn,Phillips,Pacific Clinics,926 East Aspen Boulevard,Davenport,Iowa,52801,family_physician,1/23/2000
N3T4000A,Laverne,Scott,Healthy You Clinic,1555 Lehua,Santa Fe,New Mexico,87500,orthopedist,9/11/1998
N3T4100A,Vivian,Summers,CityMed,2937 North Shore Boulevard,Cleveland,Ohio,44101,heart_surgeon,5/14/2014
N3T4200A,Noel,Richards,Wellbeing Family Practice,2104 East Oregon Lane,Montpelier,Idaho,83254,heart_surgeon,5/8/2012
N3T4300A,Julian,Powell,Emergency Healthcare,608 East Kahili Street,Atlanta,Georgia,30301,orthopedist,3/16/2012
N3T4400A,Hector,Davis,Heal And Health Hospitals,1736 South 6th Boulevard,Atlanta,Georgia,30301,orthopedist,2/6/2005
N3T4500A,Joe,Green,Body Therapy,2029 Church Drive,Huntsville,Alabama,35801,heart_surgeon,6/13/2010
N3T4600A,Olive,Allen,Indigo Integrative Health Clinic,151 West Hillside Lane,Little Rock,Arkansas,72201,family_physician,5/19/2009
N3T4700A,Shawn,Turner,Trinity Health and Wellness Medical Group,1572 South Texas Drive,Atlanta,Georgia,30301,physical_therapist,8/14/2013
N3T4800A,Nathaniel,Simpson,First Found Therapy,2396 3rd,Coldwater,Michigan,49036,orthopedist,7/9/2008
N3T4900A,Sandra,Parker,Community of Hope,607 Orchard,Miami,Florida,33124,orthopedist,8/24/2007
N3T5000A,Vicki,Philips,Vital Heart Medical,882 Holly Street,Hazard,Kentucky,41701,heart_surgeon,5/10/2006
N3T5100A,Neil,King,TeamMed,727 South Redwood Drive,Logan,Utah,84321,family_physician,7/26/2011
N3T5200A,Lesley,Campbell,Alovia Skin Clinic,1026 South Dogwood Boulevard,New Orleans,Lousiana,70112,heart_surgeon,9/11/1995
N3T5300A,Vicki,Simpson,QuikHealth,387 North Evergreen,Huntsville,Alabama,35801,physical_therapist,9/1/2007
N3T5400A,Lucille,Taylor,Healthy Folks,347 West Illinois,Denver,Colorado,80201,heart_surgeon,8/22/2011
N3T5500A,Nathaniel,Mitchell,Community of Hope,1488 Lakeview,Little Rock,Arkansas,72201,orthopedist,2/23/2018
N3T5600A,Katrina,Davidson,Rainbow General,1811 California,Coldwater,Michigan,49036,heart_surgeon,2/17/2005
N3T5700A,Ernest,Fox,Community of Hope,2436 13th,Milwaukee,Wisconsin,53201,orthopedist,5/17/2017
N3T5800A,Nick,Cook,Miracle Clinic,1905 Palo Verde,Hartford,Conneticut,6101,orthopedist,7/13/2006
N3T5900A,Molly,White,Go Medicine Care,2828 Utah,Nashville,Tennessee,37201,heart_surgeon,6/8/2017
N3T6000A,Terry,Ward,Trinity Health and Wellness Medical Group,1692 Quail Street,Portland,Oregon,97201,physical_therapist,1/14/1997
N3T6100A,Milton,Berry,Pacific Clinics,958 Hampton Drive,Laurel,Montana,59044,heart_surgeon,6/5/2014
N3T6200A,Nick,Brown,The TrustyMed,1490 Vermont,Little Rock,Arkansas,72201,orthopedist,10/12/1997
N3T6300A,Riley,Adams,Queens Care Health Center,2912 East Shore,Reno,Nevada,89501,physical_therapist,6/15/1997
N3T6400A,Orlando,Powell,Grace Medical,1736 Quail Lane,Hastings,Nebraska,68901,orthopedist,3/1/2003
N3T6500A,Beatrice,Black,Primary Care Family Practice,1237 North Sunset,Bellevue (home of windoze),Washington,98004,physical_therapist,6/22/2000
N3T6600A,Sophie,Harris,TeamMed,631 West Arizona Drive,Newport,Rhode Island,2840,orthopedist,4/27/2004
N3T6700A,Valentina,Jackson,VitalSkin,401 Walnut,Washington,District of Columbia,20001,heart_surgeon,7/8/2013
N3T6800A,Marion,Sanders,Body Regenerate Clinic,1033 West Arizona Street,Austin,Texas,78701,heart_surgeon,8/17/1999
N3T6900A,Samuel,Gray,Manchester Medical Group,1716 East Kukui,New Orleans,Lousiana,70112,orthopedist,6/4/1995
N3T7000A,Sandra,Edwards,Multiclinic,1851 Pennsylvania Street,St. Louis,Missouri,63101,orthopedist,2/11/2001
N3T7100A,Lewis,Lee,The Hope Clinic,447 South Canyon Street,Springfield,Illinois,62701,heart_surgeon,2/2/2018
N3T7200A,Sandy,Williams,Royal Therapy,576 Airport Boulevard,Portland,Oregon,97201,physical_therapist,2/21/1997
N3T7300A,Odessa,Hughes,Utah Urgent,2650 West Delaware Boulevard,Boston,Massachusetts,2101,heart_surgeon,6/20/2015
N3T7400A,Hannah,Cox,The Sunshine Practice,2725 Alabama Boulevard,Chicago,Illinois,60601,orthopedist,3/12/2004
N3T7500A,Arthur,Barnes,Columbia Doctors,1221 12th Drive,Livingston,New Jersey,7039,orthopedist,2/15/1995
N3T7600A,Kianna,Rogers,QuikHealth,1864 Apache Lane,Baltimore,Maryland,21201,physical_therapist,11/23/2011
N3T7700A,ddddddd8
N3T7800A,Janine,Russell,Accord Medical Group,2635 East Aloha,Hartford,Conneticut,6101,physical_therapist,11/23/2015
N3T7900A,Hannah,Anderson,Manchester Medical Group,1316 West Airport,Aberdeen,South Dakota,57401,physical_therapist,4/20/2018
N3T8000A,Sebastian,Ward,Chiropractic Care,165 West 2nd Drive,Hastings,Nebraska,68901,orthopedist,2/16/1996
N3T8100A,Nathalie,Smythe,Medixo,577 Arizona Drive,Aberdeen,South Dakota,57401,family_physician,4/1/2013
N3T8200A,Connor,Summers,Primaxa,2270 Orchard,Nashville,Tennessee,37201,physical_therapist,10/4/2014
N3T8300A,Greyson,Cook,WishyWave Hospital,2425 South Arizona,Tulsa,Oklahoma,74101,family_physician,2/15/2014
N3T8400A,Kayla,Shaw,QuikHealth,2092 Center Lane,Chicago,Illinois,dgfdfgdfgdfgdfgdfg,heart_surgeon,2/12/2013
N3T8500A,Neil,Davidson,Location-Based Names,898 Airport,Anchorage,Alaska,99501,family_physician,4/5/2009
N3T8600A,Angelique,Russell,Handy Health Hospital,2674 Palo Verde Boulevard,Altavista,Virginia,24517,orthopedist,11/25/2007
N3T8700A,Peter,Miller,Indigo Integrative Health Clinic,2710 Pinon Lane,Camden,South Carolina,29020,heart_surgeon,10/7/2000
N3T8800A,Rick,Shaw,Patients Choice Medical Clinic,2228 North Airport Street,Pinedale,Wyoming,82941,family_physician,5/10/2014
N3T8900A,Jessie,Adams,VistaVita,626 7th Drive,Anchorage,Alaska,99501,physical_therapist,9/3/2003
N3T9000A,Alison,Shaw,Fuerza Fitness Center (Fuerza is the Spanish Word For Strength),2724 South Evergreen,Washington,District of Columbia,20001,physical_therapist,8/18/2011
N3T9100A,Janine,Wood,Union Family Health Center,190 East Georgia Lane,Tulsa,Oklahoma,74101,heart_surgeon,5/11/2009
N3T9200A,Beverly,Nicholson,My Wellness Physician,2055 West Juniper Lane,Davenport,Iowa,52801,physical_therapist,8/5/2009
N3T9300A,Fred,Richardson,Healthy Folks,981 East Pine Boulevard,New Orleans,Lousiana,70112,family_physician,2/2/2005
N3T9400A,Katelynn,Scott,Share and Care Clinic,380 Wisconsin Boulevard,Aberdeen,South Dakota,57401,physical_therapist,11/2/2012
N3T9500A,Jorge,Johnson,BellaViso,111 East Dogwood Drive,Gaylord,Michigan,49734,physical_therapist,7/20/2009
N3T9600A,Danna,Allen,Mediversal,1597 1st,Beverly Hills,California,90209,heart_surgeon,2/9/2000
N3T9700A,Stephanie,Cox,Primaxa,270 Virginia,Anchorage,Alaska,99501,family_physician,5/22/2008
N3T9800A,Rosie,Simpson,The Calming Clinic,952 Dogwood Drive,Pensacola,Florida,32501,orthopedist,7/3/2015
N3T9900A,Harmony,Walker,Utmost Wellness Therapy,694 Colorado Street,Denver,Colorado,80201,family_physician,2/4/2012
N3T10000A,Rosa,Williams,Vital Heart Medical,2089 East Texas,Livingston,New Jersey,7039,orthopedist,10/24/1997
